smiles,bradley
CC1CCC1,-162.0
[O-][N+]#N,-90.8
FS(F)(=O)=O,-136.0
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C,94.8
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12,240.0
CN(C)C,-117.0
ClC(Cl)(Cl)Cl,-23.0
C#C,-80.8
CC(Cl)Cl,-97.0
CC(CO)(CO)[N+]([O-])=O,150.0
ClC1=CC=CS1,-72.0
CCCOC(=O)CC,-76.0
CC(=C)OC(C)=O,-93.0
CCCOC=O,-93.0
CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,80.0
CCC1=CC(CC)=CC=C1,-84.0
CC(C)=CCCC(C)=O,-67.0
CCC(C)(C)C(C)C,-101.0
CCCC(C)(C)CC,-126.0
CCCCC(C)(C)C,-121.0
CC(=C)C(C)(C)C,-110.0
CCC(CC)C(C)C,-115.0
CCCCSCC,-95.0
CCC1=CC=C(C)C(C)=C1,-67.0
CCC(C)(CC)CC,-91.0
CC(C)CC(C)C(C)C,-128.0
CC(C)CCCC(C)C,-103.0
CC1=C(C)CCCC1,-84.0
CCCC1CCCCC1,-95.0
ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,-73.0
CCC1=CC(CC)=CC(C)=C1,-74.0
CC(C)CC(C)=C,-124.0
CCCC(C)=C(C)C,-115.0
CC(C)C(C)(C)C(C)C,-102.0
CCC1=CCCCC1,-110.0
ClCC1CC1,-91.0
CCC1CCCC1C,-106.0
CC(C)C1CC1,-113.0
CC#CCC(C)C,-93.0
CCC1CCC1,-143.0
CCCC=CC,-141.0
COCCOC(C)=O,-65.0
CCC1=CC=CN=C1,-77.0
C1CCSC1,-96.0
ClCBr,-88.0
CC1CO1,-112.0
CC(=C)C=C,-146.0
CCC(C)OC(C)=O,-99.0
CCCCCCC(=O)OCC,-66.0
CCCC#N,-112.0
CCSCC,-104.0
CCSC,-106.0
CCCCC#C,-132.0
CCCCC#CCC,-104.0
CCC1=CN=C(C)C=C1,-71.0
CCC1=CC=CC=C1Br,-68.0
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,186.0
CCC1=CC=CC=C1,-95.0
CCCCCl,-123.0
C1CC=CC1,-135.0
CCCCC1=CC=CC=C1,-88.0
COCCO,-85.0
CC1=CC(=O)CC(C)(C)C1,-8.05
BrCCBr,9.95
CCCCCCCCCCCCCCC=C,4.05
CCCCCCCCCCCCCCC,9.95
CC(C)OC(=O)\C=C\C(=O)OC(C)C,2.05
CCC1=CC=CC=N1,-63.0
ClCCCBr,-59.0
COC(=O)C(Cl)Cl,-52.0
CC(C1=CC=CC=C1)C1=CC=CC=C1,-17.9
CCC1=CC=C(C)C=C1C,-63.0
