EXT_CMPD_NUMBER,SMILES,Percentage_inhibition_3D7,Percentage_inhibition_DD2,Percentage_inhibition_3D7_PFLDH,XC50_MOD_3D7,XC50_3D7 (microM),Percentage_inhibition_HEPG2
TCMDC-131240,Cc1cc(nc(NC(=N)Nc2ccc(Cl)cc2)n1)N1CCC=CC1,100,78,-8,,0.782329953,-2
TCMDC-131241,Cl.COC(=O)c1cc(ccc1O)C(O)CNC(C)CCCc1ccccc1,99,97,0,,0.742314224,17
TCMDC-131242,Cl.COC(=O)c1cc(ccc1O)C(O)CNC(C)CCc1cccc(F)c1,94,77,-2,,1.176797253,38
TCMDC-131243,COc1ccc(cc1)N=N(=O)c1ccccc1N(=O)=Nc1ccc(OC)cc1,84,29,7,,0.987473461,13
TCMDC-131244,CCN(CC)c1ccc(cc1)C(c1ccc(cc1)N(CC)CC)c1cccc(c1)N(=O)=O,91,68,-1,,0.380919341,39
TCMDC-125522,Clc1ccc(NC(=S)NN=Cc2ccccn2)cc1Cl,98,85,5,,0.768308174,40
TCMDC-123509,FC(F)(F)c1cccc(NC(=S)NN=Cc2ccccn2)c1,100,99,-7,,0.346285077,29
TCMDC-131245,O=C1OC(c2ccccc12)(c1cc2ccccc2n1S(=O)(=O)c1ccccc1)c1cc2ccccc2n1S(=O)(=O)c1ccccc1,95,78,-1,,0.846334892,1
TCMDC-131246,Cl.CN(CC(O)c1cc(OCc2ccccc2)c(OCc2ccccc2)cc1C)Cc1ccccc1,96,87,-2,,0.809275694,14
TCMDC-131247,Cl.CC(CCc1ccccc1)NCC(O)c1cccc(c1)C(F)(F)F,99,98,4,,0.709192332,18
TCMDC-131248,Cl.COc1ccc(cc1C(F)(F)F)C(O)CNC(C)CCc1ccccc1,99,100,1,,0.070411304,3
TCMDC-131249,Cl.COc1ccc(cc1C(F)(F)F)C(O)CNC(C)CCc1ccc(F)cc1,99,98,3,,0.747118182,92
TCMDC-131250,OC(CN(Cc1ccccc1)Cc1ccccc1)c1cccc(c1)C#N,101,100,1,,1.272398943,12
TCMDC-125521,Fc1ccc(NC(=S)NN=Cc2ccccn2)cc1,95,67,-1,,0.774936724,56
TCMDC-131251,Cl.COc1cc(C)c(cc1C)C(O)CNC(C)CCc1ccccc1,98,98,-2,,0.729798731,1
TCMDC-131252,Cl.CC(CCc1ccccc1)NCC(O)c1ccc2N(C)C(=O)c3cccc1c23,99,57,-2,,0.812144951,37
TCMDC-125520,CC(C)c1ccc(NC(=S)NN=Cc2ccccn2)cc1,100,98,-12,,0.724216908,47
TCMDC-131253,Cl.CC(CCc1ccccc1)NCC(O)c1ccc2N(C)S(=O)(=O)c3cccc1c23,99,99,3,,0.627286271,16
TCMDC-131254,CC(CCc1ccccc1)NCC(O)c1ccc2Nc3ccccc3S(=O)(=O)c2c1,95,4,0,,1.218165625,17
TCMDC-131255,Cl.CNCC(O)c1cc(Cl)c(Cl)cc1C,98,88,2,,0.922185264,0
TCMDC-131256,CNC(NCCSCc1cc(C)c(CN(C)C)s1)=CN(=O)=O,98,96,-1,,0.348344223,48
