Smiles,mol_name,cdk2_ic50,cdk2_inhib,scaffold,sourcepool,cdk_act_bin_1
C#CC(/C=C/C)OC(=O)c(ccc1)c(c1)C(=O)O,mol_1,None,23.30,Scaffold_00,divscreen,0
C#CC(C)(C)N(CC1C)CC\C1=N\OC(=O)c2cc([N+]([O-])=O)cc(c2)[N+]([O-])=O,mol_2,None,20.50,Scaffold_00,divscreen,0
C#CC(C)(C)N(CN1)CNC1=S,mol_3,None,20.70,Scaffold_00,divscreen,0
C#CC(C)(C)N(CN1)C\N=C/1SC,mol_4,None,1.90,Scaffold_00,divscreen,0
C#CC(C)(C)NC(=O)CN(c(c1)cccc1)[S](=O)(=O)c2ccc(cc2)OC,mol_5,None,19.80,Scaffold_00,divscreen,0
C#CC(C)(C)NC(=O)\C(NC1=O)=N\c2ccccc12,mol_6,None,20.50,Scaffold_00,divscreen,0
C#CC(C)(C)NC(=O)c(cc1)ccc1CN(c(cc2)ccc2)[S](=O)(=O)c3ccccc3,mol_7,None,16.10,Scaffold_00,divscreen,0
C#CC(C)(C)N[S](=O)(=O)c1ccc(cc1)Oc2c(Cl)cccc2[N+]([O-])=O,mol_8,None,6.80,Scaffold_00,divscreen,0
C#CC(C)(CC)OCC(O)C[S]([O-])(=O)=O,mol_9,None,17.30,Scaffold_00,divscreen,0
C#CC(C)(O)CC\C=C(/C)CO,mol_10,None,12.60,Scaffold_00,divscreen,0
C#CC(C1)(CCCC1)NC(=O)c2ccccc2C(=O)Nc3cc(C(F)(F)F)cc(c3)C(F)(F)F,mol_11,None,14.80,Scaffold_00,divscreen,0
C#CC(C1)(CCCC1)NC(=S)Nc2ccc(cc2)[S](=O)(=O)N3CCCCC3,mol_12,None,-98.20,Scaffold_00,divscreen,0
C#CC(C1)(CCCC1)N[S](=O)(=O)c2ccc(c(c2)[N+]([O-])=O)SC(C)(C)C,mol_13,None,-13.60,Scaffold_00,divscreen,0
C#CC(C1)(CCCC1)N[S](=O)(=O)c2ccc(c(c2)[N+]([O-])=O)SCC(=O)OCC,mol_14,None,-4.10,Scaffold_00,divscreen,0
C#CC(C1)(CCCC1)N[S](=O)(=O)c2ccc(c(c2)[N+]([O-])=O)Sc3ccccc3N,mol_15,None,-39.30,Scaffold_00,divscreen,0
C#CC(CC)(CC)NC(=O)Nc(cc1)cc(c1C)NC(=O)NC(C#C)(CC)CC,mol_16,None,13.60,Scaffold_04,divscreen,0
C#CC1(CCCCC1)NC(=O)\C(NC2=O)=N\c3ccccc23,mol_17,None,7.40,Scaffold_00,divscreen,0
C#CC1(O)CC(C)N(C)C(C1)C,mol_18,None,5.60,Scaffold_00,divscreen,0
C#CCC(C(=O)O)NC(C)=O,mol_19,None,-0.50,Scaffold_00,divscreen,0
C#CCCOC(C1)OCCC1,mol_20,None,2.50,Scaffold_00,divscreen,0
C#CCN(C)CCCOc1c(Cl)cc(Cl)cc1,mol_21,None,-20.80,Scaffold_00,divscreen,0
C#CCN(C)Cc(c1)cccc1,mol_22,None,14.50,Scaffold_00,divscreen,0
C#CCN(C)[C@H](C)Cc(c1)cccc1,mol_23,None,-40.30,Scaffold_00,divscreen,0
C#CCN(c1ccc(cc1)C(=O)OC)C(=O)c(ccc23)cc3C(=O)N(C2=O)c4ccc(C)c(C)c4,mol_24,None,16.90,Scaffold_00,divscreen,0
C#CCNC(=N/O)/c(c(c1)Cl)ncc1C(F)(F)F,mol_25,None,27.70,Scaffold_00,divscreen,0
C#CCNC(=O)CSc(n1)nccc1c(c2C)[s]c3[s]c(Br)c(C)c23,mol_26,None,15.10,Scaffold_00,divscreen,0
