Chemical name,Crystal structure CSD refcode,LogS exp (mol/L),Reference,Test,SMILES,Smiles Source,Chemspider reference number,InChl
Acetanilide,ACANIL01,-1.40,2,FALSE,O=C(Nc1ccccc1)C,ChemSpider,880,"InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)"
Adenosine,ADENOS10,-1.73,2,FALSE,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,ChemSpider,54923,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"
Allopurinol,ALOPUR,-2.26,8,FALSE,c1c2c([nH]n1)ncnc2O,ChemSpider,2010,"InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)"
Trimethoprim,AMXBPM10,-2.95,3,FALSE,COc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N,ChemSpider,953,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)"
Acetazolamide,ATDZSA,-2.44,3,FALSE,O=S(=O)(c1nnc(s1)NC(=O)C)N,ChemSpider,4488,"InChI=1S/C7H7NO3/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,9H,8H2,(H,10,11)"
Benzoic acid,BENZAC02,-1.58,8,FALSE,c1ccc(cc1)C(=O)O,ChemSpider,5376,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)"
Salbutamol,BHHPHE,-1.22,2,FALSE,OCc1cc(ccc1O)C(O)CNC(C)(C)C,ChemSpider,2121,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3"
Quinidine,BOMDUC,-2.81,2,FALSE,O(c4cc1c(nccc1[C@H](O)[C@@H]2N3CC[C@@H](C2)[C@@H](/C=C)C3)cc4)C,ChemSpider,1909,"InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)"
Benzamide,BZAMID02,-0.95,2,FALSE,c1ccc(cc1)C(=O)N,ChemSpider,238,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)"
Thiamphenicol,CABCIR01,-2.15,2,FALSE,ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc(cc1)S(=O)(=O)C)CO,ChemSpider,1999,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3"
(RS)-Atenolol,CEZVIN,-1.21,4,FALSE,CC(C)NCC(COc1ccc(cc1)CC(=O)N)O,ChemSpider,389880,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19+,20-/m0/s1"
Chloral Hydrate,CHORLH01,1.70,2,FALSE,ClC(Cl)(Cl)C(O)O,ChemSpider,2241,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)"
